question,exp,cop,opa,opb,opc,opd,subject_name,topic_name,id,choice_type,answer,predicted_answer,gpt4_answer
"If the Rb gene phosphorylation is defective, which of the following will happen?","Answer- A. Cell cycle will stop at GI phaseRb is a tumor suppressor gene. It normally arrests cell division at G1-S phase. Phosphorylation of Rb gene allows the cell to divide, hence inhibition of phosphorylation (which is the constitutive scenario for Rb gene) arrests the cell in GI phase.RB (Retinoblastoma) geneLocated on chromosome on 13q14Tumor suppressive pocket protein that binds E2F transcription factors in hypophophorylated stateKey negative regulator of G1/S cell cycle transition . Tumors associated: Retinoblastoma, osteosarcoma, Glioblastoma, small cell carcinoma of lung, CA breast & CA bladderSequence: Go- G1- S- G2 - M",1,Cell cycle will stop at GI phase,Cell cycle will stop at G2 phase,The cell cycle will progress and the cell will divide,There will be no effect on cell cycle as for Rb gene phosphorylation is not needed,Pathology,,07d58883-b752-4898-ab70-a1df892ef7bd,single,Cell cycle will stop at GI phase,Cell cycle will stop at GI phase,Uncontrolled cell division.
Cumulative index is:,,3,Russet's periodontal index,Ramjford's periodontal index,PMA (Massler and Schlour),Gingival index (Loe and Silness),Dental,,66b9ec80-bfe0-485a-89ae-42e666aab572,single,PMA (Massler and Schlour),"A cumulative index is a list of all the terms in a book or journal, arranged in alphabetical order, with a reference to the page on which each term appears.",A measure of overall change.
The cells which will proliferate from top to bottom of villi are:,"Paneth cells or zymogen cells are found only in the deeper parts of the intestinal crypts.
 They contain prominent eosinophilic secretory granules.
 They also contain high amount of zinc.
 They are known to produce lysozyme, defensins and TNF alpha that destroy bacteria.
 They exceptionally migrate towards the base of the crypts of Lieberkuhn instead of going toward the villi",3,Chief cells,Goblet cells,Paneth cells,Parietal cells,Anatomy,,0e46082c-1abc-4330-a12d-6948554559a2,single,Paneth cells,Enterocytes,Enterocytes
What is the usual weight of rabbit used in ophthalmological experiments?,Ans: B. 1.5-2.5 kg(Ref: Animal Models in Eve Research/ p188).The usual weight of rabbit used in ophthalmological experiments is between 1.5-2.5 Kg. Laboratory Animals:Laboratory AnimalsAnimalWeightRat180-200 gmGuinea Pig400-600 gmMouse20-25 gmRabbit1.5-2.5 KgdegHamster80-90 gm,2,0.5-1 kg,1.5-2.5 kg,5-7 kg,10-12 kg,Ophthalmology,,360f90ec-189e-464a-a60d-ed9d9bda46ef,single,1.5-2.5 kg,1.5-2.5 kg,2-3 kg
"In plasmodium vivax malaria, relapse is caused by:September 2012","Ans: C i.e. HypnoziteMalariaIn malaria, size of RBC is increased in: VivaxInfective agent of malaria is: SporozoiteFalciparum malariaGametocytes are seen in peripheral blood smearParasitemia is highestMost virulent plasmodium speciesExo-erythrocytic stage is absentMultiple infections of RBC'sSplenic rupture is common",3,Sporozoite,Schizont,Hypnozoite,Gamteocyte,Medicine,,ee55a9bc-62bb-4952-957a-1902ff5b4376,single,Hypnozoite,Hypnozite,Hypnozoites
Retraction of mandible is achieved by:,,2,Lateral pterygoid,Temporalis,Medial pterygoid,Masseter,Anatomy,,06cab4ad-fb49-4daa-92db-5ee3529af02f,single,Temporalis,Nan,Posterior fibers of the temporalis muscle and the digastric muscle.
How is modified shock index represented as?,HR normal: 60-100 MAP normal: 95,1,HR/MAP,MAP/HR,HR/SBP,HR/DBP,Medicine,AIIMS 2017,783df438-362f-4ab5-a8b3-11ea2bfb2af7,single,HR/MAP,HR/MAP,Modified Shock Index = Heart Rate / Mean Arterial Pressure
"A 3 week neonate with ambiguous genitalia presented with Na+ 127 meq/L, K+ 7.2 meq/L wit BP 52/24 mm Hg and he was managed with IV fluids. What is the next step of management?","Karyotype 46 XX Physical appearance - male pattern Precocious pubey at 2-4 yrs. of age. Uterus, cervix and fallopian tubes are present (bcz 44 XX) - Mullerian duct development is normal. Metabolic problems: Hyponatremia - aldosterone deficiency Hyperkalemia Hypotension Diagnosis: 1) USG Normal 2) Barr body present 3) Biochemistry - 17 hydroxyprogesterone || > 800 ngm/dl. Management: DOC - Dexamethasone - to pregnant women and fetus both having CAH. Hydrocoisone - pregnant women alone having CAH but fetus is normal. Neonate with CAH. Labioscrotal folds may be separated to folds may be fused at the midline, giving an appearance of a scrotum Labioscrotal folds with increased pigmentation suggest the possibility of increased coicotropin levels as pa of adrenogenital syndrome",2,Spironolactone,Hydrocoisone administration,Broad spectrum antibiotics,Calcium gluconate,Pediatrics,AIIMS 2019,fe85c6e7-2064-4045-b348-57a9eb2bc6b4,multi,Hydrocoisone administration,Management with dexamethasone,Start hydrocortisone.
Base pairs in DNA,,3,1.5 billion,46 billions,3.2 billion,100 billion,Pathology,,87f6392c-b727-4e7d-be12-189db181fd2b,single,3.2 billion,,"Adenine-Thymine, Guanine-Cytosine"
Which of the following is a solid solution?,"The structure of noble alloys can consist of solid solutions, in which the elements are completely soluble in one another at all temperatures and compositions.
The majority of noble metal casting alloys for dental restorations are based on solid solutions. An important example is the palladium-silver (Pd-Ag) alloy system. Silver forms a series of solid solutions with palladium and gold, and is therefore common in gold- and palladium-based dental alloys.
Ref: Phillip’s 12th edition page 79. Craig’s 14th edition page 182,184",3,Amalgam,Cobalt-chromium,Silver-palladium,Gallium-silver,Dental,,c2b29a6c-e501-4532-97ad-62934778db2a,multi,Silver-palladium,Pd-Ag,Alloy.
Tracheal secretions should be suctioned for:,"Ans. a. 10-15 seconds(Ref Current DiMMOCIC and Treatment Critical Care 3/e p255)Tracheal secretions should he suctioned limiting the time to less than 10-15 seconds. The patient should be preoxygenated with 100% oxygen for at least a minute, and the total suction time should be limited to no more than 10-15 seconds on each attempt.",1,10-15 seconds,60 seconds,30 seconds,3 minutes,Anaesthesia,,1bf69f9a-987c-48fc-9356-d62d2148c3a6,single,10-15 seconds,10-15 seconds,To clear airway.
"A patient presents with carcinoma of the larynx involving the left false cords, left arytenoid and the left aryepiglottic folds with bilateral mobile true cords. Treatment of choice is -","In the Patient

Involvement of unilateral false cord, aryepiglottic folds and arytenoids with mobile cord suggest supraglottic cancer in T2 stage (morem than one subsites of supraglottis are involved).
For T2 stage radiotherpy is best. But it is not given in options. Hence we will go for voice conserving surgery-vertical hemilaryngectomy.
Vertical hemilaryngectomy means excision of one half of larynx, one half of supraglottis, glottis and subglottis.",1,Vertical hemilaryngectomy,Horizontal partial hemilaryngectomy,Total laryngectomy,Radiotherapy followed by chemotherapy,ENT,,1482f619-ffc5-4773-b48e-995421bcab06,multi,Vertical hemilaryngectomy,Vertical hemilaryngectomy,Total laryngectomy with postoperative radiotherapy.
Which of the following lipoproteins does not move towards charged end in electrophoresis?,"Based on electrophoretic separation from cathode to anode, the order of lipoprotein in an electrophoretogram is 

Chylomicron
LDL (β Lipoprotein)
VLDL (Pre β Lipoprotein)
IDL (Broad β Lipoprotein)
HDL (α Lipoprotein)",4,VLDL,LDL,HDL,Chylomicrons,Biochemistry,,0e7917ea-310b-4477-9897-f4901f728448,single,Chylomicrons,HDL,Chylomicrons
"A 60 years old male presented with fever, chills and dysuria. Patient was hospitalized in emergency for 5 days. PSA level was 7.4. Next best step in this patient:",Answer- D. Antibiotics and admitTreatment for acute bacterial prostatitis:MC used antibiotics are: TMP-SMX and Ciprofloxacin (Both are having better concentration in prostatic tissue)Around 4-6 weeks of antibiotic therapy is used to ave chronic bacterial prostatitis.,4,Repeat PSA,TURP,TRUS guided biopsy,Antibiotics and admit,Surgery,,eaf9a948-8b99-4522-a75d-7649ecd0e3f7,multi,Antibiotics and admit,Antibiotics and admit,Antibiotics for prostatitis.
Name the structure marked with arrow,The structure marked with arrow- Secretory vesicles.,3,Mitochondria,Golgi bodies,Secretory vesicles,Rough Endoplasmic reticulum,Physiology,AIIMS 2018,133b6b41-ac32-4d94-b0c8-9004aa2214f4,single,Secretory vesicles,Secretory vesicles,"I'm sorry, I can't view images or content marked with an arrow. Could you describe the structure or provide more context?"
"A patient from,nqh-eastern states was diagnosed to have infection with P. falciparum malaria. What is the most appropriate drug for this patient?","Ans: A. Aemether plus lumefantrineRef: <a href="" Combination Therapy (ACT) should be given to all the confirmed P. falciparum cases.</li>The ACT recommended in the National Program all over India except noheastern states is aesunate (AS) daily for3 days and Sulfadoxine-pyrimethamine (SP) on Day 0.Noheastern states presently recommended ACT in national drug policy is fixed dose combination of Aemether-lumefaritrine.Hence, the clear-cut answer of this question is Aemether plus lumefantrine.",1,Aemether plus lumefantrine,Sulfadoxine plus pyrimethamine,Chloroquine,Mefloquine,Pharmacology,,a570d3c3-865a-41b6-8e21-dccbf7feec4c,single,Aemether plus lumefantrine,Aemether plus lumefantrine,Artemisinin-based combination therapy (ACT)
"Iron is present in all, EXCEPT",,4,Myoglobin,Cytochrome,Catalase,Pyruvate kinase,Biochemistry,,7627eb54-4499-45d0-ba1f-1c8dbc6f2342,multi,Pyruvate kinase,,Vitamin C.
The most common bone tumor that occurs in children is:,,1,Osteosarcoma,Ewing's sarcoma,Metastatic carcinoma,Multiple myeloma,Pathology,,57eb90ac-1025-4763-b6c0-ff5581ef2126,single,Osteosarcoma,Osteoid osteoma,Osteosarcoma
"In a couple for treatment of infeility from the last four years, female paner is normal. Male paner has 0.8 ml semen volume per ejaculate on two repeated samples and absent fructose, with no sperms on examination under microscope. What is the next line of management?","Answer- D. Transrectal ultrasound to detect duct obstructionAbsent fructose with no sperms in ejaculate is suggestive of obstruction of vas deferens with seminal vesicle agenesis or obstruction. Next line of management in this patient would be transrectal ultrasound to detect duct obstruction.Transrectal Ultrasound-High-frequency (5-7) mHz transrectal ultrasound (TRUS) offers superb imaging of the prostate, seminal vesicles, and ejaculatory ducts.Due to both accuracy and convenience, TRUS has replaced surgical vasography in the diagnosis of obstructive lesions that cause infeility.",4,Per-rectal examination to check ejaculatory duct obstruction,Give antioxidants,Testicular biopsy,Transrectal ultrasound to detect duct obstruction,Surgery,,890982b8-3906-44be-aff1-437a7c6c373d,single,Transrectal ultrasound to detect duct obstruction,Transrectal ultrasound to detect duct obstruction,Vasography
The zygomatic bone does not articulate with:,,3,Frontal bone,Maxillary bone,Nasal bone,Temporal bone,Dental,,069b7516-54c4-4e5d-acf7-a7c92fdd2a01,single,Nasal bone,Nasal bone,Mandible
Which of the following statements is true regarding medical aboion?,"Ans: D. Only a person ceified under MTP act can perform medical termination of pregnancy(Ref Shaw 16/e 28(, 15/e p244-245, William) 24/e p568).MTP can be performed up to 20 weeks according to MTP act.Ultrasound is not needed in all cases.Only ceified person for MTP act can perform medical termination of pregnancy.",4,Ultrasound should be done in all cases,"If the patient has an IUCD in-situ, it doesn't need to be removed",Can only be done up to 72 days,Only a person ceified under MTP act can perform medical termination of pregnancy,Gynaecology & Obstetrics,,e872c1fb-0521-4b18-bfbb-b60544b78a99,multi,Only a person ceified under MTP act can perform medical termination of pregnancy,Only a person certified under MTP act can perform medical termination of pregnancy,It is a safe and effective way to end an early pregnancy.
