question,exp,cop,opa,opb,opc,opd,subject_name,topic_name,id,choice_type,answer,chosen_answer,bert_score_f1,opa_score,opb_score,opc_score,opd_score,chosen_op
Which of the following is not. true regarding myelopathy?,"Ans. b. Brisk jaw jerk(Ref: De Jongs Neurological examination/ p194, 201, 474.'Jaw jerk is exaggerated in supranuclear lesions that are above the mid pons.",2,Sensory loss of facial area,Brisk jaw jerk,Brisk pectoral jerk,Urgency and incontinence of micturition,Medicine,,86da0aa9-4ee5-4d2d-909b-e40e20b97d1c,multi,Brisk jaw jerk,Brisk jaw jerk,0.9999998211860656,0.720930278301239,0.9999998211860656,0.8336504697799683,0.7192608714103699,2
Which of the following committees has recommended a 3-year bachelor degree in medical education for rural health service?,Answer- A. High level expe group of universal health program for indiaConcept of 3 years bachelor para-medical course for rural health service was proposed by Ministry of health and family welfare and received backing of Planning Commission of India's High level expe group of universal health program.,1,High level expe group of universal health program for india,Central bureau of health investigation,Srivastava committee,Sundar committee,Social & Preventive Medicine,,ddb3f2a6-295a-4d4b-8478-5c15049b62a8,single,High level expe group of universal health program for india,High level expe group of universal health program for india,1.0000001192092896,1.0000001192092896,0.7344318628311157,0.6631238460540771,0.6936520338058472,1
Sequential arrangement of fetal scans -,"Ans: D. AllThe NT scan must be done between 11 and 14 weeks pregnant, because this is when the base of baby's neck is still transparent. (The last day for scan is 13 weeks and 6 days pregnant.)Triple marker test is performed in pregnant women at the end of first trimester and the beginning of the second trimester.The anomaly scan, also sometimes called the anatomy scan, 20 week ultrasound, or level 2 ultrasound, is a pregnancy ultrasound performed between 18-22 weeksA growth scan is an ultrasound scan that determines whether your baby's growth is normal. Doctors typically recommend it for women during the third trimester of pregnancy; one of the reasons it is also a fetal growth scan between 28 weeks and 32 weeks of pregnancy.",4,Growth scan,Triple marker,Anomalous Scan and NT scan,All,Pediatrics,,7697c864-514c-4a73-8ce4-ea6cf0d0b651,multi,All,All,1.000000238418579,0.6560928821563721,0.6663744449615479,0.5855433940887451,1.000000238418579,4
Which one of the following is a muscle splitting incision?,"Ans: D. Lanz incisionLanz incision:An oblique (transverse skin crease), muscle splitting incision used for an appendectomy.A modification of McBurney's (Grid Iron) incision.Advantages:Considered cosmetically better.Exposure is better.The extension is easier.Measurements:Incision, appropriate in length to size & obesity of patient - Approximately 2 cm below umbilicus centered on the midclavicular-mid inguinal line.It can be extended medially - With retraction or suitable division of rectus abdominis muscle.",4,Kocher's incision,Rutherford-Morrison incision,Pfannenstiel incision,Lanz incision,Surgery,,9a3940ff-8c7a-492c-86d4-259c47cef675,single,Lanz incision,Lanz incision,1.0,0.8489624261856079,0.8216270208358765,0.8170607686042786,1.0,4
Multiple canals in mandibular premolars are seen in?,,1,Africas,Caucians,Not Recalled,Not Recalled,Dental,,98ae0eca-84e2-4b3c-95e3-2920fafef1e8,multi,Africas,Africans,0.8131875395774841,0.8131874799728394,0.6548616886138916,0.6904709935188293,0.6904709935188293,1
Which of the following blade angle is appropriate for scaling and root planing,"Blade angulation.
(A) 0 degrees: correct angulation for blade insertion.
(B) 45 to 90 degrees: correct angulation for scaling and root planing.
(C) less than 45 degrees: incorrect angulation for scaling and root planing.
(d) More than 90 degrees: incorrect angulation for scaling and root planing, but correct angulation for gingival curettage.",2,A,B,C,D,Dental,,5ce754b8-b358-4270-9bd1-8828700a19b1,single,B,Both A and B,0.7853126525878906,0.7340612411499023,0.7853127717971802,0.6892491579055786,0.6603290438652039,2
Which pa of brachial plexus do not give branches,Answer: B. DivisionDivision does not give branches,2,Root,Division,Cord,Trunk,Anatomy,,849b1909-c988-4d0b-8eaf-a716707cbe97,single,Division,Division,1.0000003576278689,0.7401796579360962,1.0000003576278689,0.722844123840332,0.7168371081352234,2
"If the Rb gene phosphorylation is defective, which of the following will happen?","Answer- A. Cell cycle will stop at GI phaseRb is a tumor suppressor gene. It normally arrests cell division at G1-S phase. Phosphorylation of Rb gene allows the cell to divide, hence inhibition of phosphorylation (which is the constitutive scenario for Rb gene) arrests the cell in GI phase.RB (Retinoblastoma) geneLocated on chromosome on 13q14Tumor suppressive pocket protein that binds E2F transcription factors in hypophophorylated stateKey negative regulator of G1/S cell cycle transition . Tumors associated: Retinoblastoma, osteosarcoma, Glioblastoma, small cell carcinoma of lung, CA breast & CA bladderSequence: Go- G1- S- G2 - M",1,Cell cycle will stop at GI phase,Cell cycle will stop at G2 phase,The cell cycle will progress and the cell will divide,There will be no effect on cell cycle as for Rb gene phosphorylation is not needed,Pathology,,07d58883-b752-4898-ab70-a1df892ef7bd,single,Cell cycle will stop at GI phase,Cell cycle will stop at GI phase,0.9999999403953552,0.9999999403953552,0.9434857368469238,0.8419548273086548,0.7867778539657593,1
Cumulative index is:,,3,Russet's periodontal index,Ramjford's periodontal index,PMA (Massler and Schlour),Gingival index (Loe and Silness),Dental,,66b9ec80-bfe0-485a-89ae-42e666aab572,single,PMA (Massler and Schlour),Russet's periodontal index,0.7099629044532776,1.0,0.9212933778762816,0.7099629044532776,0.7573901414871216,1
The cells which will proliferate from top to bottom of villi are:,"Paneth cells or zymogen cells are found only in the deeper parts of the intestinal crypts.
 They contain prominent eosinophilic secretory granules.
 They also contain high amount of zinc.
 They are known to produce lysozyme, defensins and TNF alpha that destroy bacteria.
 They exceptionally migrate towards the base of the crypts of Lieberkuhn instead of going toward the villi",3,Chief cells,Goblet cells,Paneth cells,Parietal cells,Anatomy,,0e46082c-1abc-4330-a12d-6948554559a2,single,Paneth cells,Paneth cells,1.0000001192092896,0.7435850501060486,0.780815601348877,1.0000001192092896,0.7689499258995056,3
What is the usual weight of rabbit used in ophthalmological experiments?,Ans: B. 1.5-2.5 kg(Ref: Animal Models in Eve Research/ p188).The usual weight of rabbit used in ophthalmological experiments is between 1.5-2.5 Kg. Laboratory Animals:Laboratory AnimalsAnimalWeightRat180-200 gmGuinea Pig400-600 gmMouse20-25 gmRabbit1.5-2.5 KgdegHamster80-90 gm,2,0.5-1 kg,1.5-2.5 kg,5-7 kg,10-12 kg,Ophthalmology,,360f90ec-189e-464a-a60d-ed9d9bda46ef,single,1.5-2.5 kg,1.5-2.5 kg,1.0000001192092896,0.8987922668457031,1.0000001192092896,0.7803547978401184,0.7480737566947937,2
"In plasmodium vivax malaria, relapse is caused by:September 2012","Ans: C i.e. HypnoziteMalariaIn malaria, size of RBC is increased in: VivaxInfective agent of malaria is: SporozoiteFalciparum malariaGametocytes are seen in peripheral blood smearParasitemia is highestMost virulent plasmodium speciesExo-erythrocytic stage is absentMultiple infections of RBC'sSplenic rupture is common",3,Sporozoite,Schizont,Hypnozoite,Gamteocyte,Medicine,,ee55a9bc-62bb-4952-957a-1902ff5b4376,single,Hypnozoite,Hypnozite,0.9240841865539552,0.82121741771698,0.7404336929321289,0.9240841865539552,0.8198933601379395,3
Retraction of mandible is achieved by:,,2,Lateral pterygoid,Temporalis,Medial pterygoid,Masseter,Anatomy,,06cab4ad-fb49-4daa-92db-5ee3529af02f,single,Temporalis,Lateral pterygoid,0.7025180459022522,0.9999998807907104,0.702518105506897,0.9834439754486084,0.643043041229248,1
How is modified shock index represented as?,HR normal: 60-100 MAP normal: 95,1,HR/MAP,MAP/HR,HR/SBP,HR/DBP,Medicine,AIIMS 2017,783df438-362f-4ab5-a8b3-11ea2bfb2af7,single,HR/MAP,HR/MAP,1.0000001192092896,1.0000001192092896,0.9232327342033386,0.8693999648094177,0.8689601421356201,1
"A 3 week neonate with ambiguous genitalia presented with Na+ 127 meq/L, K+ 7.2 meq/L wit BP 52/24 mm Hg and he was managed with IV fluids. What is the next step of management?","Karyotype 46 XX Physical appearance - male pattern Precocious pubey at 2-4 yrs. of age. Uterus, cervix and fallopian tubes are present (bcz 44 XX) - Mullerian duct development is normal. Metabolic problems: Hyponatremia - aldosterone deficiency Hyperkalemia Hypotension Diagnosis: 1) USG Normal 2) Barr body present 3) Biochemistry - 17 hydroxyprogesterone || > 800 ngm/dl. Management: DOC - Dexamethasone - to pregnant women and fetus both having CAH. Hydrocoisone - pregnant women alone having CAH but fetus is normal. Neonate with CAH. Labioscrotal folds may be separated to folds may be fused at the midline, giving an appearance of a scrotum Labioscrotal folds with increased pigmentation suggest the possibility of increased coicotropin levels as pa of adrenogenital syndrome",2,Spironolactone,Hydrocoisone administration,Broad spectrum antibiotics,Calcium gluconate,Pediatrics,AIIMS 2019,fe85c6e7-2064-4045-b348-57a9eb2bc6b4,multi,Hydrocoisone administration,Spironolactone,0.717850923538208,1.0,0.717850923538208,0.6575856804847717,0.7036865949630737,1
Base pairs in DNA,,3,1.5 billion,46 billions,3.2 billion,100 billion,Pathology,,87f6392c-b727-4e7d-be12-189db181fd2b,single,3.2 billion,3.2 billion,1.0,0.8921805024147034,0.6564805507659912,1.0,0.7924237251281738,3
Which of the following is a solid solution?,"The structure of noble alloys can consist of solid solutions, in which the elements are completely soluble in one another at all temperatures and compositions.
The majority of noble metal casting alloys for dental restorations are based on solid solutions. An important example is the palladium-silver (Pd-Ag) alloy system. Silver forms a series of solid solutions with palladium and gold, and is therefore common in gold- and palladium-based dental alloys.
Ref: Phillip’s 12th edition page 79. Craig’s 14th edition page 182,184",3,Amalgam,Cobalt-chromium,Silver-palladium,Gallium-silver,Dental,,c2b29a6c-e501-4532-97ad-62934778db2a,multi,Silver-palladium,Silver-palladium,0.9999999403953552,0.6856255531311035,0.8179492950439453,1.0,0.8620262742042542,3
Tracheal secretions should be suctioned for:,"Ans. a. 10-15 seconds(Ref Current DiMMOCIC and Treatment Critical Care 3/e p255)Tracheal secretions should he suctioned limiting the time to less than 10-15 seconds. The patient should be preoxygenated with 100% oxygen for at least a minute, and the total suction time should be limited to no more than 10-15 seconds on each attempt.",1,10-15 seconds,60 seconds,30 seconds,3 minutes,Anaesthesia,,1bf69f9a-987c-48fc-9356-d62d2148c3a6,single,10-15 seconds,10-15 seconds,0.9999998211860656,0.9999998211860656,0.8149226307868958,0.8296422362327576,0.7623562216758728,1
"A patient presents with carcinoma of the larynx involving the left false cords, left arytenoid and the left aryepiglottic folds with bilateral mobile true cords. Treatment of choice is -","In the Patient

Involvement of unilateral false cord, aryepiglottic folds and arytenoids with mobile cord suggest supraglottic cancer in T2 stage (morem than one subsites of supraglottis are involved).
For T2 stage radiotherpy is best. But it is not given in options. Hence we will go for voice conserving surgery-vertical hemilaryngectomy.
Vertical hemilaryngectomy means excision of one half of larynx, one half of supraglottis, glottis and subglottis.",1,Vertical hemilaryngectomy,Horizontal partial hemilaryngectomy,Total laryngectomy,Radiotherapy followed by chemotherapy,ENT,,1482f619-ffc5-4773-b48e-995421bcab06,multi,Vertical hemilaryngectomy,Vertical hemilaryngectomy,1.0,1.0,0.9834923148155212,0.9280325174331664,0.7091120481491089,1
Which of the following lipoproteins does not move towards charged end in electrophoresis?,"Based on electrophoretic separation from cathode to anode, the order of lipoprotein in an electrophoretogram is 

Chylomicron
LDL (β Lipoprotein)
VLDL (Pre β Lipoprotein)
IDL (Broad β Lipoprotein)
HDL (α Lipoprotein)",4,VLDL,LDL,HDL,Chylomicrons,Biochemistry,,0e7917ea-310b-4477-9897-f4901f728448,single,Chylomicrons,VLDL,0.6744675040245056,1.0000004768371582,0.8424896001815796,0.8182388544082642,0.6744675040245056,1
